c_t0_t0_t0_t0,a0000,b0000,MUL
c_t0_t0_t0_t1,a0001,b0001,MUL
c_t0_t0_t0_t2,a0000,a0001,ADD
c_t0_t0_t0_t3,b0000,b0001,ADD
c_t0_t0_t0_t4,c_t0_t0_t0_t2,c_t0_t0_t0_t3,MUL
c_t0_t0_t0_s00,c_t0_t0_t0_t1,c_t0_t0_t0_t1,ADD
c_t0_t0_t0_s01,c_t0_t0_t0_s00,c_t0_t0_t0_t1,ADD
c_t0_t0_t0_s02,c_t0_t0_t0_s01,c_t0_t0_t0_s01,ADD
c_t0_t0_t0_s03,c_t0_t0_t0_s02,c_t0_t0_t0_s02,ADD
c_t0_t0_t0_s04,c_t0_t0_t0_s03,c_t0_t0_t0_t1,ADD
c_t0_t0_t00,c_t0_t0_t0_t0,c_t0_t0_t0_s04,ADD
c_t0_t0_t0_t5,c_t0_t0_t0_t0,c_t0_t0_t0_t1,ADD
c_t0_t0_t01,c_t0_t0_t0_t4,c_t0_t0_t0_t5,SUB
c_t0_t0_t1_t0,a0010,b0010,MUL
c_t0_t0_t1_t1,a0011,b0011,MUL
c_t0_t0_t1_t2,a0010,a0011,ADD
c_t0_t0_t1_t3,b0010,b0011,ADD
c_t0_t0_t1_t4,c_t0_t0_t1_t2,c_t0_t0_t1_t3,MUL
c_t0_t0_t1_s00,c_t0_t0_t1_t1,c_t0_t0_t1_t1,ADD
c_t0_t0_t1_s01,c_t0_t0_t1_s00,c_t0_t0_t1_t1,ADD
c_t0_t0_t1_s02,c_t0_t0_t1_s01,c_t0_t0_t1_s01,ADD
c_t0_t0_t1_s03,c_t0_t0_t1_s02,c_t0_t0_t1_s02,ADD
c_t0_t0_t1_s04,c_t0_t0_t1_s03,c_t0_t0_t1_t1,ADD
c_t0_t0_t10,c_t0_t0_t1_t0,c_t0_t0_t1_s04,ADD
c_t0_t0_t1_t5,c_t0_t0_t1_t0,c_t0_t0_t1_t1,ADD
c_t0_t0_t11,c_t0_t0_t1_t4,c_t0_t0_t1_t5,SUB
c_t0_t0_t20,a0000,a0010,ADD
c_t0_t0_t21,a0001,a0011,ADD
c_t0_t0_t30,b0000,b0010,ADD
c_t0_t0_t31,b0001,b0011,ADD
c_t0_t0_t4_t0,c_t0_t0_t20,c_t0_t0_t30,MUL
c_t0_t0_t4_t1,c_t0_t0_t21,c_t0_t0_t31,MUL
c_t0_t0_t4_t2,c_t0_t0_t20,c_t0_t0_t21,ADD
